Measurement: [ time: 2014:01:14:13:04:11, altitude: 2216.1517534179607, pressure: 50.020746289586306, temperature: -96.34705501778683 ]
Measurement: [ time: 2014:01:14:13:04:11, altitude: 7478.613728846426, pressure: 50.14358886203163, temperature: -94.37817213665754 ]
Measurement: [ time: 2014:01:14:13:04:11, altitude: 19001.541376750778, pressure: 50.31792766802434, temperature: -93.8702343167576 ]
Measurement: [ time: 2014:01:14:13:04:12, altitude: 21430.19363571565, pressure: 50.71190219690713, temperature: -93.35463687661361 ]
Measurement: [ time: 2014:01:14:13:04:12, altitude: 33527.4475358628, pressure: 50.82830397090565, temperature: -92.47086419412778 ]
Measurement: [ time: 2014:01:14:13:04:12, altitude: 36104.33317948603, pressure: 51.23814520880621, temperature: -92.18778095208361 ]
Measurement: [ time: 2014:01:14:13:04:12, altitude: 37008.60313733915, pressure: 51.28195878736697, temperature: -89.64000357831875 ]
Measurement: [ time: 2014:01:14:13:04:13, altitude: 42892.9232290173, pressure: 51.39749695038387, temperature: -86.97987177679387 ]
Measurement: [ time: 2014:01:14:13:04:13, altitude: 45011.91143480717, pressure: 51.56296369815405, temperature: -83.7161768075714 ]
Measurement: [ time: 2014:01:14:13:04:13, altitude: 46006.58815760829, pressure: 51.681615128252865, temperature: -83.47035376997079 ]
Measurement: [ time: 2014:01:14:13:04:13, altitude: 50665.97506235584, pressure: 51.80026655835168, temperature: -81.65242974243996 ]
Measurement: [ time: 2014:01:14:13:04:14, altitude: 54469.259330080706, pressure: 51.88341242728933, temperature: -80.47474807415381 ]
Measurement: [ time: 2014:01:14:13:04:14, altitude: 55859.709569639745, pressure: 52.14864506334238, temperature: -75.74851841063352 ]
Measurement: [ time: 2014:01:14:13:04:14, altitude: 67458.3866629041, pressure: 52.72669947241293, temperature: -75.58865611083073 ]
Measurement: [ time: 2014:01:14:13:04:14, altitude: 69969.88173602168, pressure: 53.30475388148348, temperature: -75.21807491781104 ]
Measurement: [ time: 2014:01:14:13:04:15, altitude: 71352.60242571661, pressure: 53.40429979362238, temperature: -72.54629385942717 ]
Measurement: [ time: 2014:01:14:13:04:15, altitude: 74345.41970747446, pressure: 53.59414068022872, temperature: -72.4941580926366 ]
Measurement: [ time: 2014:01:14:13:04:15, altitude: 77149.08616974745, pressure: 53.758908753902546, temperature: -71.32555265624279 ]
Measurement: [ time: 2014:01:14:13:04:15, altitude: 77582.29279250419, pressure: 54.05207100549481, temperature: -69.8785140884038 ]
Measurement: [ time: 2014:01:14:13:04:16, altitude: 79520.61300824057, pressure: 54.384939292051456, temperature: -69.73338396009181 ]
Measurement: [ time: 2014:01:14:13:04:16, altitude: 84763.23679464166, pressure: 54.478527166950116, temperature: -68.7285401431974 ]
Measurement: [ time: 2014:01:14:13:04:16, altitude: 89118.10112793845, pressure: 54.92863887637367, temperature: -68.6515709952104 ]
Measurement: [ time: 2014:01:14:13:04:16, altitude: 89434.7908816667, pressure: 54.98360444611272, temperature: -67.63244740235615 ]
Measurement: [ time: 2014:01:14:13:04:17, altitude: 96828.14012186805, pressure: 55.72282622256508, temperature: -67.39647277290173 ]
Measurement: [ time: 2014:01:14:13:04:17, altitude: 98978.69641791399, pressure: 55.95591976190417, temperature: -67.35119647823889 ]
Measurement: [ time: 2014:01:14:13:04:17, altitude: 99877.12604693885, pressure: 56.20028513675934, temperature: -66.7111717111423 ]
Measurement: [ time: 2014:01:14:13:04:17, altitude: 105872.51269241178, pressure: 56.46315618153319, temperature: -64.65595226962736 ]
Measurement: [ time: 2014:01:14:13:04:18, altitude: 107599.61496762784, pressure: 56.672141942226695, temperature: -62.49621505104657 ]
Measurement: [ time: 2014:01:14:13:04:18, altitude: 107720.15780719, pressure: 57.177119251116125, temperature: -62.443563538487446 ]
Measurement: [ time: 2014:01:14:13:04:18, altitude: 114826.78050957454, pressure: 57.58927414269755, temperature: -60.58591291078076 ]
Measurement: [ time: 2014:01:14:13:04:18, altitude: 116486.35800476548, pressure: 57.77977280895463, temperature: -58.95138543176194 ]
Measurement: [ time: 2014:01:14:13:04:19, altitude: 121644.80605405383, pressure: 57.875494088655, temperature: -58.58839949337481 ]
Measurement: [ time: 2014:01:14:13:04:19, altitude: 122184.89658664944, pressure: 58.67585177791512, temperature: -57.20643515410055 ]
Measurement: [ time: 2014:01:14:13:04:19, altitude: 123846.45035816255, pressure: 58.80312314757718, temperature: -55.962491334203655 ]
Measurement: [ time: 2014:01:14:13:04:19, altitude: 124492.28123829565, pressure: 58.86358029056182, temperature: -51.671551796607986 ]
Measurement: [ time: 2014:01:14:13:04:20, altitude: 127627.48931073428, pressure: 58.92403743354646, temperature: -51.56433641094988 ]
Measurement: [ time: 2014:01:14:13:04:20, altitude: 129826.45520462224, pressure: 59.18026055142689, temperature: -51.524026363783506 ]
Measurement: [ time: 2014:01:14:13:04:20, altitude: 138422.84018134527, pressure: 59.50269369767391, temperature: -50.760290470858926 ]
Measurement: [ time: 2014:01:14:13:04:20, altitude: 139122.53340480375, pressure: 59.65825655190105, temperature: -50.600242439279604 ]
Measurement: [ time: 2014:01:14:13:04:21, altitude: 145874.98052241124, pressure: 59.813819406128175, temperature: -50.51927353579678 ]
Measurement: [ time: 2014:01:14:13:04:21, altitude: 150558.79790139594, pressure: 59.88973706190892, temperature: -49.851008592243296 ]
Measurement: [ time: 2014:01:14:13:04:21, altitude: 152313.77366569493, pressure: 60.379927080420615, temperature: -46.29104808912255 ]
Measurement: [ time: 2014:01:14:13:04:21, altitude: 157774.96321967323, pressure: 60.8660770440117, temperature: -46.11616592323991 ]
Measurement: [ time: 2014:01:14:13:04:22, altitude: 159515.11419644736, pressure: 61.35222700760279, temperature: -45.95428634231804 ]
Measurement: [ time: 2014:01:14:13:04:22, altitude: 164172.88037814715, pressure: 61.37471940212302, temperature: -42.66564503712898 ]
Measurement: [ time: 2014:01:14:13:04:22, altitude: 168283.82221229383, pressure: 61.653620404962254, temperature: -42.25152683349566 ]
Measurement: [ time: 2014:01:14:13:04:22, altitude: 168548.4512728317, pressure: 62.201682522844415, temperature: -35.69039536241095 ]
